,Total Return,CAGR,Ann. Volatility,Sharpe (rf=0)
Portfolio,2.7324485869597943,0.6291991904581256,0.2645861977038288,1.9777491155312257
S&P 500,0.7427081776520223,0.22855619003244132,0.15336744176987488,1.4190573357901386
